"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12877","refund not eligible for group ticket booking","","2026-05-09","passed","2026-05-09","","homeworks/homework2Teacheranswer.spec.js","",""
"","9136","Booking an event","","2026-05-09","passed","2026-05-09","","homeworks/createAndCheckEvent(E2E).spec.js","",""
"","4804","Popup validations","","2026-05-09","passed","2026-05-09","","Sections 9-10/moreValidations.spec.js","",""
"","6674","create event via UI, book it, and verify seat reduction","","2026-05-09","failed","2026-05-09","","homeworks/createAndCheckEvent(E2E)TeacherAnswer.spec.js","",""
"","8326","Browser Context Playwright test","","2026-05-09","passed","2026-05-09","","UIBasics.spec.js","",""
"","13091","Custom test client","","2026-05-09","passed","2026-05-09","","E2E_PO.spec.js","",""
"","5379","Place the order","","2026-05-09","passed","2026-05-09","","Section 11/WebAPIPart1.spec.js","",""
"","2633","Place the order","","2026-05-09","passed","2026-05-09","","Section 12/networkTest.spec.js","",""
"","3441","Child window hadl","","2026-05-09","passed","2026-05-09","","UIBasics.spec.js","",""
"","12638","Client App Login","","2026-05-09","passed","2026-05-09","","E2E.spec.js","",""
"","8367","Client App login","","2026-05-09","passed","2026-05-09","","E2EExample.spec.js","",""
"","12962","buying a refundable ticket","","2026-05-09","passed","2026-05-09","","homeworks/homework2.spec.js","",""
"","12353","refund eligible for single ticket booking","","2026-05-09","passed","2026-05-09","","homeworks/homework2Teacheranswer.spec.js","",""
"","4250","Banner IS visible when 6 events are returned","","2026-05-09","passed","2026-05-09","","homeworks/homework3.spec.js","",""
"","1242","Checking other's user booking","","2026-05-09","failed","2026-05-09","","homeworks/h4Optimized.spec.js","",""
"","3605","Upload donwload excel validation","","2026-05-09","passed","2026-05-09","","Section 15/download-upload.spec.js","",""
"","19566","Client App Login","","2026-05-09","passed","2026-05-09","","E2Eoptimized.spec.js","",""
"","2360","Place the order","","2026-05-09","passed","2026-05-09","","Section 12/NetTestMyExample.spec.js","",""
"","40356","buying a non-refundable tickets","","2026-05-09","broken","2026-05-09","","homeworks/homework2.spec.js","",""
"","3075","UI Controls","","2026-05-09","passed","2026-05-09","","UIBasics.spec.js","",""
"","6208","Security test request intercept","","2026-05-09","passed","2026-05-09","","Section 12/routeContinueTest.spec.js","",""
"","4592","@Web Playwright Special locators","","2026-05-09","passed","2026-05-09","","llc.spec.js","",""
"","3166","Browser Context Playwright test","","2026-05-09","passed","2026-05-09","","RahultestLogin.spec.js","",""
"","12769","Client App Login for Adidas Original","","2026-05-09","passed","2026-05-09","","E2E_PO.spec.js","",""
"","7135","Banner is NOT visible when 4 events are returned","","2026-05-09","passed","2026-05-09","","homeworks/homework3.spec.js","",""
"","11318","Client App Login","","2026-05-09","passed","2026-05-09","","Section 11/WebAPIPart2.spec.js","",""
"","13843","Client App Login for ZARA COAT 3","","2026-05-09","passed","2026-05-09","","E2E_PO.spec.js","",""
"","1466","Page context Playwright test","","2026-05-09","passed","2026-05-09","","UIBasics.spec.js","",""
"","304","Place the order","","2026-05-09","failed","2026-05-09","","Section 11/WebAPIPart1optimized.spec.js","",""
"","5922","Checking other's user booking","","2026-05-09","passed","2026-05-09","","homeworks/homework4.spec.js","",""
